key,pressTime,releaseTime
1,1614439459122,1614439459254
8,1614439459331,1614439459395
9,1614439459588,1614439459703
2,1614439459877,1614439459946
7,1614439460816,1614439460896
4,1614439461015,1614439461087
1,1614439462132,1614439462197
8,1614439462316,1614439462413
9,1614439462616,1614439462721
2,1614439462800,1614439462872
7,1614439463184,1614439463239
4,1614439463351,1614439463407
1,1614439464012,1614439464099
8,1614439464196,1614439464283
9,1614439464447,1614439464533
2,1614439465191,1614439465260
7,1614439465847,1614439465911
4,1614439466013,1614439466092
1,1614439468095,1614439468153
8,1614439468239,1614439468302
9,1614439468500,1614439468588
2,1614439468686,1614439468747
7,1614439469049,1614439469120
4,1614439469207,1614439469262
1,1614439470832,1614439470905
8,1614439470997,1614439471056
9,1614439471250,1614439471347
2,1614439471466,1614439471531
7,1614439471727,1614439471796
4,1614439471883,1614439471965
1,1614439472277,1614439472357
8,1614439472460,1614439472573
9,1614439472895,1614439472974
2,1614439473051,1614439473115
7,1614439473318,1614439473399
4,1614439473477,1614439473575
1,1614439473936,1614439474016
8,1614439474152,1614439474208
9,1614439474713,1614439474810
2,1614439474971,1614439475061
7,1614439475317,1614439475402
4,1614439475500,1614439475569
1,1614439476200,1614439476270
8,1614439476340,1614439476422
9,1614439476654,1614439476754
2,1614439476891,1614439476979
7,1614439477291,1614439477362
4,1614439477448,1614439477529
1,1614439478076,1614439478147
8,1614439478215,1614439478296
9,1614439478711,1614439478813
2,1614439478857,1614439478929
7,1614439479587,1614439479674
4,1614439480038,1614439480108
1,1614439480771,1614439480865
8,1614439480998,1614439481083
9,1614439481286,1614439481408
2,1614439481512,1614439481582
7,1614439482023,1614439482084
4,1614439482239,1614439482308
1,1614439482726,1614439482800
8,1614439482927,1614439483026
9,1614439483209,1614439483292
2,1614439483605,1614439483662
7,1614439483888,1614439483977
4,1614439484147,1614439484219
1,1614439484597,1614439484669
8,1614439484849,1614439484944
9,1614439485116,1614439485221
2,1614439486083,1614439486145
7,1614439486399,1614439486471
4,1614439486610,1614439486687
1,1614439486997,1614439487071
8,1614439487226,1614439487330
9,1614439487513,1614439487622
2,1614439487959,1614439488017
7,1614439488317,1614439488389
4,1614439488513,1614439488598
1,1614439488976,1614439489082
8,1614439489387,1614439489482
9,1614439489931,1614439490017
2,1614439490482,1614439490528
7,1614439490744,1614439490800
4,1614439490953,1614439491041
1,1614439491310,1614439491401
8,1614439491521,1614439491635
9,1614439491804,1614439491900
2,1614439492247,1614439492301
7,1614439492467,1614439492543
4,1614439492719,1614439492793
1,1614439493348,1614439493420
8,1614439493574,1614439493644
9,1614439493801,1614439493904
2,1614439494039,1614439494094
7,1614439494296,1614439494387
4,1614439494557,1614439494604
1,1614439495132,1614439495212
8,1614439495303,1614439495380
9,1614439495549,1614439495673
2,1614439496127,1614439496190
7,1614439496370,1614439496446
4,1614439496802,1614439496872
1,1614439497375,1614439497465
8,1614439497577,1614439497675
9,1614439497811,1614439497916
2,1614439498126,1614439498199
7,1614439498387,1614439498483
4,1614439498561,1614439498624
1,1614439499059,1614439499124
8,1614439499210,1614439499307
9,1614439499557,1614439499675
2,1614439499764,1614439499835
7,1614439500057,1614439500134
4,1614439500208,1614439500300
1,1614439500721,1614439500801
8,1614439500878,1614439500985
9,1614439501274,1614439501369
2,1614439501496,1614439501585
7,1614439501779,1614439501869
4,1614439501939,1614439502020
