key,pressTime,releaseTime
8,1613917418151,1613917418163
2,1613917418682,1613917418716
3,1613917418929,1613917419000
7,1613917420503,1613917420574
5,1613917420651,1613917420736
4,1613917420799,1613917420863
8,1613917422318,1613917422415
2,1613917422883,1613917422953
3,1613917423130,1613917423191
7,1613917423379,1613917423457
5,1613917423556,1613917423639
4,1613917423724,1613917423794
8,1613917424350,1613917424443
2,1613917424615,1613917424690
3,1613917424820,1613917424873
7,1613917425063,1613917425136
5,1613917425429,1613917425479
4,1613917425597,1613917425636
8,1613917426681,1613917426752
2,1613917427353,1613917427424
3,1613917427898,1613917427967
7,1613917428194,1613917428254
5,1613917428389,1613917428465
4,1613917428566,1613917428639
8,1613917429126,1613917429198
2,1613917429416,1613917429436
3,1613917429563,1613917429645
7,1613917430159,1613917430209
5,1613917430551,1613917430634
4,1613917430711,1613917430784
8,1613917431564,1613917431635
2,1613917431893,1613917431965
3,1613917432105,1613917432188
7,1613917432535,1613917432604
5,1613917432702,1613917432783
4,1613917433169,1613917433241
8,1613917433906,1613917433996
2,1613917434703,1613917434797
3,1613917435706,1613917435763
7,1613917435929,1613917435975
5,1613917436104,1613917436187
4,1613917436279,1613917436329
8,1613917438751,1613917438807
2,1613917439076,1613917439124
3,1613917439342,1613917439392
7,1613917441106,1613917441154
5,1613917441252,1613917441335
4,1613917441402,1613917441463
8,1613917441859,1613917441931
2,1613917442115,1613917442186
3,1613917442315,1613917442388
7,1613917442501,1613917442575
5,1613917442816,1613917442895
4,1613917443056,1613917443122
8,1613917443554,1613917443603
2,1613917443829,1613917443902
3,1613917444042,1613917444103
7,1613917444319,1613917444411
5,1613917445047,1613917445114
4,1613917445213,1613917445304
8,1613917445802,1613917445871
2,1613917446062,1613917446126
3,1613917446291,1613917446372
7,1613917446562,1613917446657
5,1613917446929,1613917447011
4,1613917447172,1613917447244
8,1613917447531,1613917447613
2,1613917447808,1613917447880
3,1613917448074,1613917448157
7,1613917448365,1613917448437
5,1613917448641,1613917448724
4,1613917448822,1613917448912
8,1613917449217,1613917449309
2,1613917449496,1613917449574
3,1613917449749,1613917449841
7,1613917450316,1613917450362
5,1613917450533,1613917450621
4,1613917450740,1613917450798
8,1613917451079,1613917451146
2,1613917451329,1613917451404
3,1613917451586,1613917451648
7,1613917451841,1613917451924
5,1613917452091,1613917452159
4,1613917452325,1613917452403
8,1613917452685,1613917452754
2,1613917452948,1613917453020
3,1613917453205,1613917453275
7,1613917453464,1613917453531
5,1613917453679,1613917453765
4,1613917453887,1613917453950
8,1613917454227,1613917454286
2,1613917454462,1613917454542
3,1613917454715,1613917454783
7,1613917454938,1613917454999
5,1613917455162,1613917455223
4,1613917455365,1613917455424
8,1613917455675,1613917455753
2,1613917455950,1613917456009
3,1613917456200,1613917456275
7,1613917456437,1613917456509
5,1613917456695,1613917456765
4,1613917456898,1613917456966
8,1613917457258,1613917457307
2,1613917457568,1613917457632
3,1613917457899,1613917457962
7,1613917458272,1613917458332
5,1613917458495,1613917458566
4,1613917458740,1613917458810
8,1613917459109,1613917459180
2,1613917459400,1613917459469
3,1613917460028,1613917460087
7,1613917460490,1613917460541
5,1613917460714,1613917460775
4,1613917460895,1613917460966
8,1613917461309,1613917461393
2,1613917461607,1613917461679
3,1613917461893,1613917461958
7,1613917462369,1613917462413
5,1613917462636,1613917462681
4,1613917462812,1613917462883
