key,pressTime,releaseTime
3,1612647646702,1612647646736
9,1612647647779,1612647647859
6,1612647648378,1612647648457
8,1612647649443,1612647649504
4,1612647649998,1612647650037
7,1612647650413,1612647650427
3,1612647652493,1612647652581
9,1612647653782,1612647653862
6,1612647654148,1612647654244
8,1612647655304,1612647655376
4,1612647655879,1612647655933
7,1612647656160,1612647656223
3,1612647656609,1612647656690
9,1612647656966,1612647657039
6,1612647657624,1612647657721
8,1612647657899,1612647657995
4,1612647658306,1612647658377
7,1612647658523,1612647658585
3,1612647658896,1612647658968
9,1612647659130,1612647659211
6,1612647659438,1612647659517
8,1612647659654,1612647659742
4,1612647660010,1612647660074
7,1612647660218,1612647660281
3,1612647660560,1612647660631
9,1612647660860,1612647660947
6,1612647661243,1612647661313
8,1612647661466,1612647661562
4,1612647661774,1612647661855
7,1612647661999,1612647662053
3,1612647662347,1612647662411
9,1612647662829,1612647662884
6,1612647663121,1612647663200
8,1612647663371,1612647663442
4,1612647663679,1612647663742
7,1612647663896,1612647663966
3,1612647664500,1612647664556
9,1612647664753,1612647664847
6,1612647665017,1612647665105
8,1612647665259,1612647665338
4,1612647665549,1612647665629
7,1612647665783,1612647665845
3,1612647666089,1612647666169
9,1612647666355,1612647666445
6,1612647666655,1612647666751
8,1612647666913,1612647667010
4,1612647667258,1612647667325
7,1612647667502,1612647667575
3,1612647667818,1612647667907
9,1612647668093,1612647668190
6,1612647668367,1612647668449
8,1612647668626,1612647668698
4,1612647668927,1612647669013
7,1612647669158,1612647669238
3,1612647669499,1612647669579
9,1612647669742,1612647669837
6,1612647669990,1612647670078
8,1612647670250,1612647670344
4,1612647670541,1612647670636
7,1612647670784,1612647670845
3,1612647671113,1612647671185
9,1612647671372,1612647671458
6,1612647671612,1612647671708
8,1612647671855,1612647671970
4,1612647672166,1612647672250
7,1612647672411,1612647672481
3,1612647672727,1612647672808
9,1612647672968,1612647673055
6,1612647673207,1612647673315
8,1612647673485,1612647673589
4,1612647673768,1612647673845
7,1612647674000,1612647674053
3,1612647674471,1612647674544
9,1612647675539,1612647675633
6,1612647675798,1612647675901
8,1612647676078,1612647676174
4,1612647676587,1612647676657
7,1612647676860,1612647676923
3,1612647677366,1612647677454
9,1612647678175,1612647678253
6,1612647678423,1612647678510
8,1612647678673,1612647678760
4,1612647679013,1612647679085
7,1612647679231,1612647679292
3,1612647679580,1612647679657
9,1612647679830,1612647679924
6,1612647680071,1612647680165
8,1612647680328,1612647680415
4,1612647680638,1612647680705
7,1612647680862,1612647680935
3,1612647682425,1612647682502
9,1612647682723,1612647682794
6,1612647683021,1612647683118
8,1612647683551,1612647683633
4,1612647684625,1612647684697
7,1612647684833,1612647684898
3,1612647685242,1612647685329
9,1612647685741,1612647685828
6,1612647685993,1612647686086
8,1612647686249,1612647686344
4,1612647686564,1612647686651
7,1612647686788,1612647686869
3,1612647687371,1612647687434
9,1612647687628,1612647687716
6,1612647687878,1612647687958
8,1612647688127,1612647688216
4,1612647688418,1612647688489
7,1612647688659,1612647688723
3,1612647688976,1612647689055
9,1612647689217,1612647689296
6,1612647689475,1612647689570
8,1612647689724,1612647689812
4,1612647690007,1612647690087
7,1612647690240,1612647690327
3,1612647690640,1612647690718
9,1612647690881,1612647690967
6,1612647691138,1612647691226
8,1612647691372,1612647691467
4,1612647691663,1612647691741
7,1612647691896,1612647691966
