key,pressTime,releaseTime
1,1612641900792,1612641900845
8,1612641900928,1612641900983
5,1612641902506,1612641902576
3,1612641902718,1612641902789
4,1612641903940,1612641904012
9,1612641904136,1612641904200
1,1612641905219,1612641905300
8,1612641905399,1612641905463
5,1612641905852,1612641905924
3,1612641906058,1612641906098
4,1612641907377,1612641907402
9,1612641907457,1612641907508
1,1612641908645,1612641908708
8,1612641908782,1612641908847
5,1612641909286,1612641909349
3,1612641909432,1612641909471
4,1612641910763,1612641910861
9,1612641910886,1612641910939
1,1612641911608,1612641911705
8,1612641911790,1612641911835
5,1612641912117,1612641912181
3,1612641912314,1612641912376
4,1612641912777,1612641912885
9,1612641912888,1612641912905
1,1612641915234,1612641915304
8,1612641915355,1612641915409
5,1612641916111,1612641916189
3,1612641916364,1612641916426
4,1612641917032,1612641917140
9,1612641917236,1612641917307
1,1612641920915,1612641920953
8,1612641921185,1612641921264
5,1612641921496,1612641921568
3,1612641921701,1612641921756
4,1612641922136,1612641922226
9,1612641922318,1612641922405
1,1612641923126,1612641923195
8,1612641923945,1612641924025
5,1612641924506,1612641924570
3,1612641924645,1612641924708
4,1612641924932,1612641925003
9,1612641925070,1612641925150
1,1612641926200,1612641926218
8,1612641926964,1612641927011
5,1612641927343,1612641927423
3,1612641927490,1612641927553
4,1612641928359,1612641928437
9,1612641928537,1612641928618
1,1612641929466,1612641929571
8,1612641929959,1612641930039
5,1612641930355,1612641930451
3,1612641930492,1612641930547
4,1612641931028,1612641931099
9,1612641931132,1612641931213
1,1612641932291,1612641932361
8,1612641932908,1612641932971
5,1612641933419,1612641933491
3,1612641933592,1612641933647
4,1612641934111,1612641934190
9,1612641934281,1612641934321
1,1612641935105,1612641935181
8,1612641935430,1612641935486
5,1612641935727,1612641935790
3,1612641935907,1612641935952
4,1612641936276,1612641936339
9,1612641936533,1612641936610
1,1612641937168,1612641937236
8,1612641937484,1612641937557
5,1612641937823,1612641937886
3,1612641937986,1612641938042
4,1612641938307,1612641938370
9,1612641938569,1612641938601
1,1612641939146,1612641939218
8,1612641939441,1612641939515
5,1612641939738,1612641939800
3,1612641939892,1612641939939
4,1612641940172,1612641940259
9,1612641943749,1612641943820
1,1612641945440,1612641945552
8,1612641945692,1612641945763
5,1612641947307,1612641947385
3,1612641947985,1612641948062
4,1612641948370,1612641948440
9,1612641948500,1612641948587
1,1612641949323,1612641949394
8,1612641949660,1612641949723
5,1612641949957,1612641950033
3,1612641950068,1612641950132
4,1612641950522,1612641950585
9,1612641950609,1612641950673
1,1612641951229,1612641951308
8,1612641951573,1612641951637
5,1612641951902,1612641951957
3,1612641951990,1612641952054
4,1612641952195,1612641952275
9,1612641952358,1612641952421
1,1612641953109,1612641953180
8,1612641953263,1612641953343
5,1612641953617,1612641953681
3,1612641953706,1612641953769
4,1612641954009,1612641954080
9,1612641954130,1612641954185
1,1612641954947,1612641955025
8,1612641955142,1612641955222
5,1612641955454,1612641955526
3,1612641955651,1612641955714
4,1612641955938,1612641956020
9,1612641957248,1612641957310
1,1612641964948,1612641965025
8,1612641965158,1612641965230
5,1612641965662,1612641965749
3,1612641966082,1612641966152
4,1612641966526,1612641966581
9,1612641966663,1612641966743
1,1612641967661,1612641967755
8,1612641967848,1612641967928
5,1612641968194,1612641968272
3,1612641968339,1612641968419
4,1612641968661,1612641968751
9,1612641969888,1612641969950
