key,pressTime,releaseTime
6,1612682753231,1612682753321
4,1612682753815,1612682753905
8,1612682754375,1612682754448
2,1612682754868,1612682754949
7,1612682755461,1612682755550
1,1612682755828,1612682755884
6,1612682757198,1612682757270
4,1612682757623,1612682757712
8,1612682757999,1612682758088
2,1612682758416,1612682758489
7,1612682758850,1612682758923
1,1612682759201,1612682759224
6,1612682759835,1612682759908
4,1612682760261,1612682760319
8,1612682760570,1612682760660
2,1612682760920,1612682761002
7,1612682761338,1612682761387
1,1612682761639,1612682761670
6,1612682762199,1612682762280
4,1612682762591,1612682762664
8,1612682762908,1612682762997
2,1612682763242,1612682763324
7,1612682763617,1612682763690
1,1612682763893,1612682763966
6,1612682764578,1612682764651
4,1612682764970,1612682765035
8,1612682765254,1612682765344
2,1612682765588,1612682765661
7,1612682765914,1612682765986
1,1612682766198,1612682766280
6,1612682766799,1612682766888
4,1612682767158,1612682767239
8,1612682767433,1612682767523
2,1612682767726,1612682767799
7,1612682768042,1612682768099
1,1612682768301,1612682768391
6,1612682768987,1612682769051
4,1612682769278,1612682769352
8,1612682769545,1612682769635
2,1612682769829,1612682769902
7,1612682770138,1612682770220
1,1612682770431,1612682770528
6,1612682771041,1612682771138
4,1612682771391,1612682771430
8,1612682771641,1612682771723
2,1612682772009,1612682772056
7,1612682772318,1612682772391
1,1612682772626,1612682772691
6,1612682773295,1612682773317
4,1612682773646,1612682773710
8,1612682773912,1612682773994
2,1612682774238,1612682774286
7,1612682774513,1612682774578
1,1612682774781,1612682774854
6,1612682775382,1612682775463
4,1612682775832,1612682775889
8,1612682776167,1612682776239
2,1612682776509,1612682776556
7,1612682777127,1612682777183
1,1612682777402,1612682777450
6,1612682778063,1612682778135
4,1612682778421,1612682778469
8,1612682778680,1612682778761
2,1612682778980,1612682779053
7,1612682779264,1612682779346
1,1612682779524,1612682779579
6,1612682779958,1612682780039
4,1612682780316,1612682780373
8,1612682780559,1612682780656
2,1612682780851,1612682780915
7,1612682781168,1612682781224
1,1612682781435,1612682781500
6,1612682781995,1612682782043
4,1612682782328,1612682782401
8,1612682782595,1612682782686
2,1612682782905,1612682782944
7,1612682783171,1612682783270
1,1612682783456,1612682783529
6,1612682783957,1612682784029
4,1612682784299,1612682784363
8,1612682784557,1612682784648
2,1612682784875,1612682784906
7,1612682785151,1612682785206
1,1612682785401,1612682785441
6,1612682785919,1612682785991
4,1612682786252,1612682786301
8,1612682786487,1612682786584
2,1612682786772,1612682786818
7,1612682787021,1612682787094
1,1612682787264,1612682787311
6,1612682787806,1612682787878
4,1612682788106,1612682788163
8,1612682788340,1612682788429
2,1612682788632,1612682788688
7,1612682788875,1612682788947
1,1612682789133,1612682789189
6,1612682789634,1612682789698
4,1612682789935,1612682789991
8,1612682790185,1612682790266
2,1612682790502,1612682790559
7,1612682790778,1612682790826
1,1612682790996,1612682791043
6,1612682791730,1612682791795
4,1612682792056,1612682792120
8,1612682792306,1612682792371
2,1612682792590,1612682792629
7,1612682792857,1612682792947
1,1612682793133,1612682793172
6,1612682793876,1612682793957
4,1612682794218,1612682794274
8,1612682794445,1612682794533
2,1612682794727,1612682794784
7,1612682794986,1612682795034
1,1612682795220,1612682795284
6,1612682796030,1612682796119
4,1612682796356,1612682796428
8,1612682796590,1612682796678
2,1612682796864,1612682796913
7,1612682797090,1612682797171
1,1612682797333,1612682797380
