key,pressTime,releaseTime
6,1612645962113,1612645962221
8,1612645962485,1612645962552
9,1612645964283,1612645964356
2,1612645964764,1612645964812
3,1612645965276,1612645965365
4,1612645965797,1612645965834
6,1612645967110,1612645967200
8,1612645967946,1612645968021
9,1612645968213,1612645968325
2,1612645968516,1612645968600
3,1612645968856,1612645968941
4,1612645969237,1612645969278
6,1612645970323,1612645970413
8,1612645971318,1612645971381
9,1612645972005,1612645972083
2,1612645972358,1612645972411
3,1612645972668,1612645972740
4,1612645973045,1612645973091
6,1612645973764,1612645973837
8,1612645974167,1612645974209
9,1612645974756,1612645974833
2,1612645975070,1612645975132
3,1612645975379,1612645975447
4,1612645975754,1612645975765
6,1612645977111,1612645977186
8,1612645977425,1612645977493
9,1612645980104,1612645980182
2,1612645980524,1612645980596
3,1612645980833,1612645980927
4,1612645981617,1612645981666
6,1612645982309,1612645982378
8,1612645982636,1612645982708
9,1612645983149,1612645983223
2,1612645983446,1612645983516
3,1612645983800,1612645983870
4,1612645984158,1612645984209
6,1612645984951,1612645985002
8,1612645985510,1612645985564
9,1612645986233,1612645986309
2,1612645986661,1612645986718
3,1612645986947,1612645987049
4,1612645987270,1612645987331
6,1612645988503,1612645988574
8,1612645989026,1612645989089
9,1612645989994,1612645990086
2,1612645990281,1612645990352
3,1612645990584,1612645990665
4,1612645990899,1612645990960
6,1612645991756,1612645991840
8,1612645992261,1612645992331
9,1612645992813,1612645992877
2,1612645993225,1612645993292
3,1612645993688,1612645993783
4,1612645994078,1612645994144
6,1612645995044,1612645995111
8,1612645995672,1612645995751
9,1612645996298,1612645996379
2,1612645996635,1612645996706
3,1612645996927,1612645997010
4,1612645997294,1612645997348
6,1612645998027,1612645998090
8,1612645998444,1612645998502
9,1612645999323,1612645999391
2,1612645999631,1612645999692
3,1612645999925,1612646000014
4,1612646000247,1612646000311
6,1612646001542,1612646001622
8,1612646001944,1612646002007
9,1612646002699,1612646002774
2,1612646003040,1612646003097
3,1612646003328,1612646003423
4,1612646003639,1612646003688
6,1612646004459,1612646004533
8,1612646004901,1612646004953
9,1612646005530,1612646005587
2,1612646005829,1612646005897
3,1612646006085,1612646006180
4,1612646006446,1612646006499
6,1612646007392,1612646007475
8,1612646007955,1612646008000
9,1612646008406,1612646008452
2,1612646008761,1612646008822
3,1612646009034,1612646009103
4,1612646009411,1612646009466
6,1612646010532,1612646010567
8,1612646011060,1612646011103
9,1612646012164,1612646012228
2,1612646012644,1612646012711
3,1612646012999,1612646013065
4,1612646013401,1612646013448
6,1612646014102,1612646014170
8,1612646014741,1612646014799
9,1612646015138,1612646015210
2,1612646015477,1612646015542
3,1612646015780,1612646015870
4,1612646016160,1612646016223
6,1612646016886,1612646016958
8,1612646017380,1612646017442
9,1612646017709,1612646017778
2,1612646018008,1612646018083
3,1612646018286,1612646018362
4,1612646018652,1612646018699
6,1612646019427,1612646019476
8,1612646019944,1612646019998
9,1612646020317,1612646020399
2,1612646020645,1612646020717
3,1612646020943,1612646021040
4,1612646021314,1612646021380
6,1612646022036,1612646022097
8,1612646022549,1612646022600
9,1612646022828,1612646022895
2,1612646023129,1612646023198
3,1612646023415,1612646023499
4,1612646023751,1612646023806
6,1612646024541,1612646024628
8,1612646025019,1612646025084
9,1612646025541,1612646025628
2,1612646025906,1612646025972
3,1612646026198,1612646026273
4,1612646026535,1612646026589
