key,pressTime,releaseTime
7,1612699229573,1612699229680
9,1612699229849,1612699229935
1,1612699230781,1612699230867
8,1612699231127,1612699231203
2,1612699232083,1612699232188
4,1612699232331,1612699232412
7,1612699234446,1612699234539
9,1612699234655,1612699234729
1,1612699235430,1612699235534
8,1612699235765,1612699235838
2,1612699237109,1612699237160
4,1612699237380,1612699237458
7,1612699238213,1612699238289
9,1612699238373,1612699238426
1,1612699238586,1612699238676
8,1612699239046,1612699239126
2,1612699239415,1612699239476
4,1612699239642,1612699239728
7,1612699243738,1612699243811
9,1612699243902,1612699243985
1,1612699244233,1612699244334
8,1612699244523,1612699244603
2,1612699244955,1612699245012
4,1612699245131,1612699245204
7,1612699246854,1612699246936
9,1612699246978,1612699247040
1,1612699247411,1612699247475
8,1612699247677,1612699247752
2,1612699248014,1612699248079
4,1612699248160,1612699248227
7,1612699251457,1612699251528
9,1612699251670,1612699251748
1,1612699252539,1612699252614
8,1612699252784,1612699252846
2,1612699253037,1612699253096
4,1612699253176,1612699253232
7,1612699253741,1612699253808
9,1612699254142,1612699254223
1,1612699254878,1612699254954
8,1612699255134,1612699255210
2,1612699255548,1612699255608
4,1612699255679,1612699255749
7,1612699256471,1612699256532
9,1612699256677,1612699256758
1,1612699256995,1612699257071
8,1612699257490,1612699257564
2,1612699257730,1612699257793
4,1612699258170,1612699258226
7,1612699260849,1612699260923
9,1612699261066,1612699261134
1,1612699261465,1612699261544
8,1612699261731,1612699261796
2,1612699262037,1612699262097
4,1612699262212,1612699262279
7,1612699264999,1612699265103
9,1612699265363,1612699265457
1,1612699265922,1612699266044
8,1612699266151,1612699266221
2,1612699266434,1612699266508
4,1612699266588,1612699266651
7,1612699268078,1612699268152
9,1612699268512,1612699268589
1,1612699269198,1612699269289
8,1612699270012,1612699270100
2,1612699270376,1612699270451
4,1612699270585,1612699270627
7,1612699271693,1612699271757
9,1612699272021,1612699272105
1,1612699272644,1612699272785
8,1612699272931,1612699272991
2,1612699273207,1612699273279
4,1612699273342,1612699273408
7,1612699274154,1612699274238
9,1612699274356,1612699274437
1,1612699274656,1612699274739
8,1612699274902,1612699274967
2,1612699275341,1612699275405
4,1612699275457,1612699275532
7,1612699276803,1612699276898
9,1612699276987,1612699277066
1,1612699277245,1612699277349
8,1612699277472,1612699277543
2,1612699277831,1612699277886
4,1612699277948,1612699278019
7,1612699278814,1612699278882
9,1612699279068,1612699279150
1,1612699279277,1612699279389
8,1612699279493,1612699279554
2,1612699279860,1612699279927
4,1612699279999,1612699280055
7,1612699281117,1612699281247
9,1612699281317,1612699281402
1,1612699282043,1612699282132
8,1612699282221,1612699282283
2,1612699282399,1612699282467
4,1612699282562,1612699282629
7,1612699285712,1612699285796
9,1612699285913,1612699285993
1,1612699286846,1612699286950
8,1612699287042,1612699287124
2,1612699287241,1612699287318
4,1612699287385,1612699287465
7,1612699289687,1612699289791
9,1612699289853,1612699289937
1,1612699290170,1612699290250
8,1612699290568,1612699290649
2,1612699290855,1612699290922
4,1612699290994,1612699291069
7,1612699291669,1612699291779
9,1612699291843,1612699291937
1,1612699292105,1612699292210
8,1612699292422,1612699292483
2,1612699292662,1612699292723
4,1612699292795,1612699292866
7,1612699293342,1612699293422
9,1612699293582,1612699293663
1,1612699294081,1612699294158
8,1612699294258,1612699294338
2,1612699294470,1612699294531
4,1612699294619,1612699294694
