key,pressTime,releaseTime
5,1614700973975,1614700973983
2,1614700974304,1614700974402
9,1614700974707,1614700974805
8,1614700975132,1614700975242
1,1614700975507,1614700975588
3,1614700975785,1614700975871
5,1614700977508,1614700977597
2,1614700978658,1614700978720
9,1614700978988,1614700979125
8,1614700980083,1614700980210
1,1614700980466,1614700980525
3,1614700980712,1614700980786
5,1614700981155,1614700981231
2,1614700981616,1614700981694
9,1614700982015,1614700982113
8,1614700982433,1614700982521
1,1614700982770,1614700982867
3,1614700983034,1614700983122
5,1614700983422,1614700983522
2,1614700984388,1614700984438
9,1614700984771,1614700985733
8,1614700985738,1614700985741
1,1614700986757,1614700986827
3,1614700987047,1614700987106
5,1614700990463,1614700990629
2,1614700990766,1614700990850
9,1614700991211,1614700991317
8,1614700991724,1614700991854
1,1614700992416,1614700992489
3,1614700992664,1614700992703
5,1614700993288,1614700993387
2,1614700993531,1614700993600
9,1614700993854,1614700993933
8,1614700994291,1614700994352
1,1614700994576,1614700994635
3,1614700994823,1614700994869
5,1614700999458,1614700999565
2,1614700999664,1614700999771
9,1614700999953,1614701000063
8,1614701000253,1614701000375
1,1614701000560,1614701000659
3,1614701000788,1614701000881
5,1614701002208,1614701002317
2,1614701002397,1614701002509
9,1614701002681,1614701002771
8,1614701002920,1614701003016
1,1614701003208,1614701003285
3,1614701003442,1614701003510
5,1614701005165,1614701005244
2,1614701005381,1614701005443
9,1614701005756,1614701005835
8,1614701006051,1614701006126
1,1614701006314,1614701006360
3,1614701006538,1614701006587
5,1614701006970,1614701007071
2,1614701007199,1614701007283
9,1614701007489,1614701007557
8,1614701007722,1614701007802
1,1614701008012,1614701008070
3,1614701008261,1614701008316
5,1614701008661,1614701008770
2,1614701009297,1614701009350
9,1614701009591,1614701009688
8,1614701009888,1614701009969
1,1614701010149,1614701010211
3,1614701010411,1614701010450
5,1614701013194,1614701013324
2,1614701013443,1614701013487
9,1614701013722,1614701013837
8,1614701014079,1614701014190
1,1614701014373,1614701014416
3,1614701014576,1614701014656
5,1614701015123,1614701015221
2,1614701015735,1614701015844
9,1614701016039,1614701016126
8,1614701016264,1614701016368
1,1614701016551,1614701016611
3,1614701016786,1614701016866
5,1614701017194,1614701017335
2,1614701017409,1614701017510
9,1614701019266,1614701019358
8,1614701019564,1614701019694
1,1614701019855,1614701019978
3,1614701020388,1614701020454
5,1614701021421,1614701021512
2,1614701021646,1614701021764
9,1614701022057,1614701022145
8,1614701022370,1614701022488
1,1614701022657,1614701022787
3,1614701022928,1614701023016
5,1614701023404,1614701023484
2,1614701023587,1614701023673
9,1614701023851,1614701023962
8,1614701024148,1614701024253
1,1614701024435,1614701024520
3,1614701024706,1614701024799
5,1614701025096,1614701025187
2,1614701025285,1614701025387
9,1614701025562,1614701025674
8,1614701025816,1614701025914
1,1614701026097,1614701026183
3,1614701026367,1614701026453
5,1614701026830,1614701026962
2,1614701027068,1614701027161
9,1614701027375,1614701027453
8,1614701027636,1614701027731
1,1614701027935,1614701027979
3,1614701028147,1614701028228
5,1614701028600,1614701028706
2,1614701028806,1614701028908
9,1614701029076,1614701029175
8,1614701029311,1614701029408
1,1614701029602,1614701029679
3,1614701029845,1614701029909
5,1614701030625,1614701030719
2,1614701030832,1614701030969
9,1614701031147,1614701031262
8,1614701031400,1614701031505
1,1614701031695,1614701031745
3,1614701031930,1614701031997
