key,pressTime,releaseTime
3,1612699262753,1612699262826
7,1612699263408,1612699263495
4,1612699263934,1612699264000
5,1612699264481,1612699264536
8,1612699265463,1612699265528
2,1612699265847,1612699265892
3,1612699267611,1612699267690
7,1612699268081,1612699268156
4,1612699268596,1612699268652
5,1612699269209,1612699269267
8,1612699269494,1612699269554
2,1612699269776,1612699269829
3,1612699270653,1612699270732
7,1612699270941,1612699271010
4,1612699271270,1612699271346
5,1612699271581,1612699271618
8,1612699271824,1612699271877
2,1612699272061,1612699272104
3,1612699272740,1612699272806
7,1612699272922,1612699273000
4,1612699273165,1612699273225
5,1612699273373,1612699273442
8,1612699273549,1612699273603
2,1612699273718,1612699273787
3,1612699274555,1612699274620
7,1612699274771,1612699274836
4,1612699274969,1612699275038
5,1612699275186,1612699275263
8,1612699275364,1612699275416
2,1612699275563,1612699275622
3,1612699276264,1612699276328
7,1612699276480,1612699276547
4,1612699276678,1612699276742
5,1612699276883,1612699276951
8,1612699277049,1612699277119
2,1612699277234,1612699277304
3,1612699277910,1612699277958
7,1612699278203,1612699278265
4,1612699278388,1612699278467
5,1612699278607,1612699278678
8,1612699278766,1612699278829
2,1612699278962,1612699279026
3,1612699279652,1612699279684
7,1612699279909,1612699279960
4,1612699280059,1612699280151
5,1612699280326,1612699280384
8,1612699280500,1612699280562
2,1612699280723,1612699280787
3,1612699281424,1612699281482
7,1612699281673,1612699281732
4,1612699281863,1612699281926
5,1612699282090,1612699282151
8,1612699282250,1612699282332
2,1612699282453,1612699282506
3,1612699283040,1612699283088
7,1612699283256,1612699283338
4,1612699283461,1612699283530
5,1612699283662,1612699283732
8,1612699283823,1612699283885
2,1612699284008,1612699284080
3,1612699284828,1612699284884
7,1612699285083,1612699285150
4,1612699285287,1612699285360
5,1612699286016,1612699286079
8,1612699286185,1612699286226
2,1612699286385,1612699286427
3,1612699287026,1612699287086
7,1612699287273,1612699287337
4,1612699287452,1612699287533
5,1612699287929,1612699287999
8,1612699288098,1612699288160
2,1612699288299,1612699288353
3,1612699289196,1612699289265
7,1612699289463,1612699289539
4,1612699289663,1612699289734
5,1612699289969,1612699290022
8,1612699290164,1612699290216
2,1612699290373,1612699290417
3,1612699291032,1612699291097
7,1612699291290,1612699291360
4,1612699291484,1612699291542
5,1612699291694,1612699291749
8,1612699291831,1612699291909
2,1612699292105,1612699292151
3,1612699292592,1612699292644
7,1612699292964,1612699293034
4,1612699293156,1612699293210
5,1612699293340,1612699293411
8,1612699293509,1612699293563
2,1612699293687,1612699293741
3,1612699294264,1612699294306
7,1612699294513,1612699294587
4,1612699294694,1612699294765
5,1612699294855,1612699294917
8,1612699294992,1612699295062
2,1612699295170,1612699295233
3,1612699295765,1612699295822
7,1612699295952,1612699296038
4,1612699296139,1612699296209
5,1612699296275,1612699296337
8,1612699296428,1612699296483
2,1612699296596,1612699296662
3,1612699297178,1612699297226
7,1612699297340,1612699297401
4,1612699297509,1612699297582
5,1612699297645,1612699297746
8,1612699297815,1612699297863
2,1612699297977,1612699298048
3,1612699298534,1612699298596
7,1612699298719,1612699298796
4,1612699298896,1612699298967
5,1612699299098,1612699299144
8,1612699299228,1612699299290
2,1612699299421,1612699299481
3,1612699300066,1612699300131
7,1612699300219,1612699300279
4,1612699300364,1612699300441
5,1612699300550,1612699300615
8,1612699300702,1612699300773
2,1612699300888,1612699300951
