key,pressTime,releaseTime
2,1612357059822,1612357059908
5,1612357060134,1612357060192
8,1612357060450,1612357060527
6,1612357060793,1612357060847
1,1612357061126,1612357061197
4,1612357061353,1612357061430
2,1612357062584,1612357062679
5,1612357062849,1612357062946
8,1612357063379,1612357063449
6,1612357063686,1612357063734
1,1612357064052,1612357064154
4,1612357064341,1612357064413
2,1612357065240,1612357065344
5,1612357065515,1612357065604
8,1612357065851,1612357065937
6,1612357066187,1612357066217
1,1612357066526,1612357066600
4,1612357066767,1612357066843
2,1612357067418,1612357067521
5,1612357067735,1612357067815
8,1612357068047,1612357068142
6,1612357068334,1612357068409
1,1612357068686,1612357068789
4,1612357068945,1612357069046
2,1612357069612,1612357069708
5,1612357069887,1612357069967
8,1612357070163,1612357070252
6,1612357070439,1612357070520
1,1612357070793,1612357070865
4,1612357071060,1612357071140
2,1612357071990,1612357072079
5,1612357072243,1612357072324
8,1612357072533,1612357072616
6,1612357072819,1612357072894
1,1612357073159,1612357073234
4,1612357073426,1612357073503
2,1612357073986,1612357074074
5,1612357074233,1612357074307
8,1612357074510,1612357074600
6,1612357074795,1612357074877
1,1612357075155,1612357075229
4,1612357075377,1612357075479
2,1612357075998,1612357076099
5,1612357076258,1612357076334
8,1612357076518,1612357076601
6,1612357076756,1612357076853
1,1612357077094,1612357077166
4,1612357077331,1612357077434
2,1612357078167,1612357078261
5,1612357078431,1612357078520
8,1612357078700,1612357078780
6,1612357078928,1612357079032
1,1612357079272,1612357079366
4,1612357079530,1612357079611
2,1612357080617,1612357080733
5,1612357080887,1612357080975
8,1612357081194,1612357081277
6,1612357081432,1612357081519
1,1612357081760,1612357081855
4,1612357082044,1612357082114
2,1612357082882,1612357082985
5,1612357083157,1612357083238
8,1612357083424,1612357083515
6,1612357083651,1612357083749
1,1612357084003,1612357084083
4,1612357084266,1612357084327
2,1612357085315,1612357085391
5,1612357085573,1612357085633
8,1612357085853,1612357085910
6,1612357086099,1612357086164
1,1612357086407,1612357086463
4,1612357086630,1612357086697
2,1612357087429,1612357087527
5,1612357087664,1612357087737
8,1612357087923,1612357087979
6,1612357088163,1612357088239
1,1612357088489,1612357088565
4,1612357088733,1612357088793
2,1612357089225,1612357089313
5,1612357089459,1612357089546
8,1612357089713,1612357089805
6,1612357089952,1612357090057
1,1612357090298,1612357090368
4,1612357090551,1612357090603
2,1612357091002,1612357091081
5,1612357091254,1612357091331
8,1612357091499,1612357091600
6,1612357091745,1612357091835
1,1612357092087,1612357092161
4,1612357092341,1612357092397
2,1612357092819,1612357092906
5,1612357093045,1612357093141
8,1612357093307,1612357093402
6,1612357093555,1612357093643
1,1612357093887,1612357093954
4,1612357094110,1612357094179
2,1612357094520,1612357094615
5,1612357094744,1612357094842
8,1612357094990,1612357095078
6,1612357095249,1612357095311
1,1612357095538,1612357095613
4,1612357095758,1612357095839
2,1612357096334,1612357096407
5,1612357096545,1612357096626
8,1612357096782,1612357096869
6,1612357097038,1612357097111
1,1612357097330,1612357097413
4,1612357097567,1612357097625
2,1612357098175,1612357098244
5,1612357098366,1612357098452
8,1612357098651,1612357098715
6,1612357098868,1612357098950
1,1612357099175,1612357099256
4,1612357099406,1612357099484
2,1612357100046,1612357100111
5,1612357100241,1612357100322
8,1612357100482,1612357100574
6,1612357100713,1612357100798
1,1612357101019,1612357101110
4,1612357101250,1612357101327
