key,pressTime,releaseTime
5,1614585741741,1614585741808
9,1614585742193,1614585742266
2,1614585742599,1614585742652
6,1614585743769,1614585743846
4,1614585743890,1614585743971
1,1614585744083,1614585744155
5,1614585746454,1614585746530
9,1614585746984,1614585747056
2,1614585747192,1614585747224
6,1614585747711,1614585747790
4,1614585747836,1614585747900
1,1614585748037,1614585748076
5,1614585750618,1614585750684
9,1614585750779,1614585750876
2,1614585750906,1614585750936
6,1614585751031,1614585751104
4,1614585751141,1614585751205
1,1614585751317,1614585751381
5,1614585752848,1614585752901
9,1614585752954,1614585753035
2,1614585753063,1614585753101
6,1614585753570,1614585753635
4,1614585753696,1614585753744
1,1614585753857,1614585753919
5,1614585754512,1614585754571
9,1614585754634,1614585754713
2,1614585754748,1614585754786
6,1614585754941,1614585755013
4,1614585755047,1614585755103
1,1614585755224,1614585755270
5,1614585755433,1614585755480
9,1614585756074,1614585756154
2,1614585756208,1614585756263
6,1614585756476,1614585756557
4,1614585756567,1614585756623
1,1614585756743,1614585756799
5,1614585757003,1614585757042
9,1614585757112,1614585757193
2,1614585757239,1614585757294
6,1614585757431,1614585757504
4,1614585757540,1614585757612
1,1614585757708,1614585757764
5,1614585758077,1614585758114
9,1614585758218,1614585758300
2,1614585758503,1614585758558
6,1614585758662,1614585758743
4,1614585758880,1614585758936
1,1614585759056,1614585759104
5,1614585759249,1614585759287
9,1614585759341,1614585759414
2,1614585759484,1614585759549
6,1614585759744,1614585759824
4,1614585759870,1614585759925
1,1614585760047,1614585760093
5,1614585760230,1614585760277
9,1614585760331,1614585760404
2,1614585760438,1614585760494
6,1614585760639,1614585760729
4,1614585760832,1614585760871
1,1614585761008,1614585761048
5,1614585761192,1614585761232
9,1614585761285,1614585761375
2,1614585761403,1614585761467
6,1614585761563,1614585761643
4,1614585761722,1614585761786
1,1614585761898,1614585761954
5,1614585762099,1614585762147
9,1614585762192,1614585762272
2,1614585762310,1614585762374
6,1614585762469,1614585762544
4,1614585762637,1614585762717
1,1614585762863,1614585762910
5,1614585763609,1614585763661
9,1614585763748,1614585763829
2,1614585763858,1614585763887
6,1614585764083,1614585764164
4,1614585764201,1614585764265
1,1614585764377,1614585764450
5,1614585764587,1614585764633
9,1614585764696,1614585764769
2,1614585764831,1614585764903
6,1614585765015,1614585765104
4,1614585765233,1614585765298
1,1614585765401,1614585765482
5,1614585765610,1614585765657
9,1614585765711,1614585765800
2,1614585765838,1614585765884
6,1614585766768,1614585766852
4,1614585767014,1614585767053
1,1614585767198,1614585767244
5,1614585767542,1614585767555
9,1614585767616,1614585767697
2,1614585769040,1614585769080
6,1614585769534,1614585769623
4,1614585769684,1614585769749
1,1614585769861,1614585769933
5,1614585770095,1614585770151
9,1614585770238,1614585770335
2,1614585770813,1614585770885
6,1614585771056,1614585771162
4,1614585771232,1614585771296
1,1614585771408,1614585771464
5,1614585779128,1614585779160
9,1614585779581,1614585779653
2,1614585779798,1614585779829
6,1614585780150,1614585780213
4,1614585780251,1614585780305
1,1614585780410,1614585780474
5,1614585780969,1614585781032
9,1614585781086,1614585781159
2,1614585781237,1614585781293
6,1614585781580,1614585781644
4,1614585781670,1614585781734
1,1614585781839,1614585781894
5,1614585782113,1614585782145
9,1614585782223,1614585782296
2,1614585782323,1614585782378
6,1614585784194,1614585784270
4,1614585784273,1614585784318
1,1614585784431,1614585784496
