key,pressTime,releaseTime
4,1612639304793,1612639304834
2,1612639305064,1612639305124
8,1612639305479,1612639305548
3,1612639305862,1612639305923
1,1612639306412,1612639306480
7,1612639306821,1612639306872
4,1612639308406,1612639308463
2,1612639308637,1612639308688
8,1612639309078,1612639309137
3,1612639309319,1612639309371
1,1612639309627,1612639309680
7,1612639309886,1612639309944
4,1612639310445,1612639310495
2,1612639310678,1612639310736
8,1612639311079,1612639311129
3,1612639311317,1612639311370
1,1612639311610,1612639311669
7,1612639311885,1612639311936
4,1612639312402,1612639312461
2,1612639312618,1612639312678
8,1612639312985,1612639313044
3,1612639313225,1612639313285
1,1612639313501,1612639313552
7,1612639313760,1612639313818
4,1612639314374,1612639314426
2,1612639314608,1612639314677
8,1612639314900,1612639314968
3,1612639315149,1612639315226
1,1612639315490,1612639315560
7,1612639315758,1612639315850
4,1612639317034,1612639317110
2,1612639317297,1612639317359
8,1612639317656,1612639317733
3,1612639317888,1612639317958
1,1612639318222,1612639318292
7,1612639318597,1612639318648
4,1612639319766,1612639319808
2,1612639320157,1612639320215
8,1612639320480,1612639320548
3,1612639320772,1612639320824
1,1612639321088,1612639321148
7,1612639321389,1612639321423
4,1612639322398,1612639322448
2,1612639322646,1612639322706
8,1612639323013,1612639323080
3,1612639323346,1612639323399
1,1612639323744,1612639323797
7,1612639324053,1612639324114
4,1612639324746,1612639324812
2,1612639325020,1612639325088
8,1612639325331,1612639325388
3,1612639325611,1612639325679
1,1612639325910,1612639325989
7,1612639326227,1612639326279
4,1612639326828,1612639326894
2,1612639327068,1612639327129
8,1612639327337,1612639327387
3,1612639327593,1612639327645
1,1612639327877,1612639327938
7,1612639328185,1612639328238
4,1612639329144,1612639329195
2,1612639329378,1612639329444
8,1612639329667,1612639329744
3,1612639329901,1612639329960
1,1612639330225,1612639330287
7,1612639330500,1612639330552
4,1612639331609,1612639331651
2,1612639331827,1612639331885
8,1612639332068,1612639332127
3,1612639332291,1612639332351
1,1612639332557,1612639332610
7,1612639332782,1612639332843
4,1612639333724,1612639333786
2,1612639333948,1612639334017
8,1612639334206,1612639334275
3,1612639334413,1612639334483
1,1612639334682,1612639334742
7,1612639334907,1612639334975
4,1612639335624,1612639335673
2,1612639335832,1612639335891
8,1612639336056,1612639336124
3,1612639336264,1612639336341
1,1612639336539,1612639336598
7,1612639336747,1612639336816
4,1612639337590,1612639337641
2,1612639337773,1612639337850
8,1612639337979,1612639338056
3,1612639338188,1612639338266
1,1612639338455,1612639338506
7,1612639338672,1612639338748
4,1612639339356,1612639339406
2,1612639339537,1612639339614
8,1612639339754,1612639339839
3,1612639339961,1612639340039
1,1612639340210,1612639340280
7,1612639340429,1612639340490
4,1612639340971,1612639341022
2,1612639341180,1612639341231
8,1612639341379,1612639341447
3,1612639341570,1612639341638
1,1612639341810,1612639341871
7,1612639342020,1612639342081
4,1612639343171,1612639343204
2,1612639343436,1612639343504
8,1612639343687,1612639343737
3,1612639343911,1612639343962
1,1612639344186,1612639344237
7,1612639344433,1612639344487
4,1612639345370,1612639345445
2,1612639345620,1612639345679
8,1612639345892,1612639345945
3,1612639346126,1612639346177
1,1612639346378,1612639346428
7,1612639346625,1612639346686
4,1612639347468,1612639347528
2,1612639347726,1612639347785
8,1612639348067,1612639348127
3,1612639348258,1612639348327
1,1612639348625,1612639348685
7,1612639348859,1612639348918
