key,pressTime,releaseTime
4,1612883902199,1612883902305
1,1612883902421,1612883902506
2,1612883902865,1612883902956
5,1612883903723,1612883903826
9,1612883904488,1612883904602
3,1612883904795,1612883904908
4,1612883912491,1612883912558
1,1612883912724,1612883912788
2,1612883914187,1612883914268
5,1612883914456,1612883914558
9,1612883915551,1612883915629
3,1612883915845,1612883915906
4,1612883917437,1612883917499
1,1612883917674,1612883917730
2,1612883919010,1612883919088
5,1612883919227,1612883919314
9,1612883920352,1612883920467
3,1612883920668,1612883920762
4,1612883921828,1612883921910
1,1612883922048,1612883922112
2,1612883922556,1612883922666
5,1612883922826,1612883922915
9,1612883923607,1612883923701
3,1612883923875,1612883923979
4,1612883934072,1612883934163
1,1612883934281,1612883934374
2,1612883935392,1612883935498
5,1612883935611,1612883935696
9,1612883936996,1612883937063
3,1612883937267,1612883937332
4,1612883938626,1612883938680
1,1612883938827,1612883938883
2,1612883939142,1612883939224
5,1612883939469,1612883939541
9,1612883940067,1612883940134
3,1612883940328,1612883940412
4,1612883941307,1612883941379
1,1612883941490,1612883941583
2,1612883941978,1612883942051
5,1612883942209,1612883942291
9,1612883943742,1612883943824
3,1612883943992,1612883944081
4,1612883945331,1612883945392
1,1612883945539,1612883945611
2,1612883946007,1612883946090
5,1612883946245,1612883946311
9,1612883947026,1612883947096
3,1612883947267,1612883947334
4,1612883948081,1612883948140
1,1612883948325,1612883948390
2,1612883949355,1612883949444
5,1612883949573,1612883949640
9,1612883950612,1612883950679
3,1612883950867,1612883950948
4,1612883954278,1612883954311
1,1612883954488,1612883954530
2,1612883954810,1612883954895
5,1612883955203,1612883955286
9,1612883955833,1612883955913
3,1612883956105,1612883956196
4,1612883957114,1612883957201
1,1612883957313,1612883957395
2,1612883957599,1612883957683
5,1612883957905,1612883957990
9,1612883958378,1612883958488
3,1612883958675,1612883958766
4,1612883959581,1612883959646
1,1612883959773,1612883959859
2,1612883960042,1612883960116
5,1612883960455,1612883960544
9,1612883960965,1612883961059
3,1612883961231,1612883961304
4,1612883962109,1612883962196
1,1612883962305,1612883962398
2,1612883962707,1612883962803
5,1612883963043,1612883963108
9,1612883963626,1612883963713
3,1612883963895,1612883963977
4,1612883964586,1612883964660
1,1612883964795,1612883964879
2,1612883965216,1612883965309
5,1612883965503,1612883965579
9,1612883965887,1612883965990
3,1612883966196,1612883966277
4,1612883966808,1612883966892
1,1612883966989,1612883967093
2,1612883967651,1612883967735
5,1612883967889,1612883967928
9,1612883968556,1612883968654
3,1612883968803,1612883968886
4,1612883969290,1612883969383
1,1612883969503,1612883969574
2,1612883969866,1612883969964
5,1612883970184,1612883970266
9,1612883970577,1612883970683
3,1612883970845,1612883970938
4,1612883979595,1612883979651
1,1612883979796,1612883979852
2,1612883980166,1612883980218
5,1612883980468,1612883980514
9,1612883981275,1612883981319
3,1612883981531,1612883981577
4,1612883982708,1612883982753
1,1612883982908,1612883982916
2,1612883983201,1612883983254
5,1612883983476,1612883983511
9,1612883984188,1612883984267
3,1612883984452,1612883984526
4,1612883985086,1612883985170
1,1612883985289,1612883985371
2,1612883985633,1612883985729
5,1612883985929,1612883986032
9,1612883986475,1612883986573
3,1612883986747,1612883986839
4,1612883991413,1612883991495
1,1612883991607,1612883991681
2,1612883992267,1612883992359
5,1612883992497,1612883992552
9,1612883993158,1612883993250
3,1612883993389,1612883993503
