key,pressTime,releaseTime
4,1612707396084,1612707396158
6,1612707396354,1612707396436
9,1612707396718,1612707396802
8,1612707397130,1612707397188
2,1612707397883,1612707397950
7,1612707398368,1612707398424
4,1612707399713,1612707399790
6,1612707400047,1612707400129
9,1612707400525,1612707400614
8,1612707400915,1612707401020
2,1612707401376,1612707401448
7,1612707401631,1612707401670
4,1612707406235,1612707406316
6,1612707406487,1612707406569
9,1612707406952,1612707407026
8,1612707408142,1612707408230
2,1612707408714,1612707408793
7,1612707409029,1612707409088
4,1612707410056,1612707410147
6,1612707410309,1612707410401
9,1612707410647,1612707410728
8,1612707410986,1612707411089
2,1612707411282,1612707411375
7,1612707411452,1612707411511
4,1612707413147,1612707413203
6,1612707413267,1612707413341
9,1612707413503,1612707413593
8,1612707413734,1612707413848
2,1612707413955,1612707414037
7,1612707414272,1612707414376
4,1612707415930,1612707415985
6,1612707416094,1612707416183
9,1612707416688,1612707416767
8,1612707416962,1612707417043
2,1612707417194,1612707417243
7,1612707417544,1612707417628
4,1612707418279,1612707418334
6,1612707418487,1612707418558
9,1612707418988,1612707419054
8,1612707419354,1612707419434
2,1612707419622,1612707419689
7,1612707420037,1612707420097
4,1612707421486,1612707421552
6,1612707421777,1612707421861
9,1612707422208,1612707422301
8,1612707422518,1612707422621
2,1612707422920,1612707423014
7,1612707423168,1612707423233
4,1612707424020,1612707424108
6,1612707424283,1612707424365
9,1612707424744,1612707424804
8,1612707425024,1612707425118
2,1612707425279,1612707425338
7,1612707425619,1612707425693
4,1612707426412,1612707426471
6,1612707426676,1612707426760
9,1612707427142,1612707427225
8,1612707427445,1612707427548
2,1612707427795,1612707427844
7,1612707428138,1612707428218
4,1612707428913,1612707429022
6,1612707429165,1612707429267
9,1612707429737,1612707429793
8,1612707430247,1612707430323
2,1612707430734,1612707430798
7,1612707431067,1612707431140
4,1612707432056,1612707432121
6,1612707432338,1612707432431
9,1612707432851,1612707432937
8,1612707433216,1612707433321
2,1612707433602,1612707433678
7,1612707433936,1612707434029
4,1612707434858,1612707434926
6,1612707435194,1612707435275
9,1612707435651,1612707435733
8,1612707435967,1612707436070
2,1612707436337,1612707436407
7,1612707436745,1612707436809
4,1612707438147,1612707438194
6,1612707438451,1612707438512
9,1612707438812,1612707438904
8,1612707439098,1612707439187
2,1612707439521,1612707439615
7,1612707439893,1612707439973
4,1612707441058,1612707441159
6,1612707441308,1612707441380
9,1612707441710,1612707441796
8,1612707442017,1612707442108
2,1612707442325,1612707442395
7,1612707442661,1612707442734
4,1612707443266,1612707443357
6,1612707443571,1612707443664
9,1612707444134,1612707444192
8,1612707444459,1612707444562
2,1612707444755,1612707444851
7,1612707445094,1612707445186
4,1612707445925,1612707445991
6,1612707446216,1612707446314
9,1612707446822,1612707446900
8,1612707447125,1612707447216
2,1612707447410,1612707447481
7,1612707447727,1612707447820
4,1612707448769,1612707448836
6,1612707449029,1612707449122
9,1612707449347,1612707449440
8,1612707449612,1612707449703
2,1612707449856,1612707449903
7,1612707450139,1612707450225
4,1612707450968,1612707451057
6,1612707451200,1612707451279
9,1612707451505,1612707451588
8,1612707451782,1612707451873
2,1612707452015,1612707452083
7,1612707452320,1612707452402
4,1612707453668,1612707453773
6,1612707453920,1612707454002
9,1612707454217,1612707454289
8,1612707454480,1612707454575
2,1612707454787,1612707454881
7,1612707455104,1612707455175
