key,pressTime,releaseTime
3,1612759774464,1612759774579
8,1612759775200,1612759775326
4,1612759776025,1612759776111
5,1612759776364,1612759776457
7,1612759776779,1612759776874
1,1612759777105,1612759777187
3,1612759782319,1612759782426
8,1612759782860,1612759782949
4,1612759783349,1612759783429
5,1612759783643,1612759783730
7,1612759784098,1612759784190
1,1612759784422,1612759784502
3,1612759786845,1612759786974
8,1612759787365,1612759787459
4,1612759787922,1612759788011
5,1612759788225,1612759788298
7,1612759788755,1612759788858
1,1612759789181,1612759789252
3,1612759790675,1612759790789
8,1612759791135,1612759791222
4,1612759791639,1612759791724
5,1612759792158,1612759792248
7,1612759792713,1612759792788
1,1612759793012,1612759793075
3,1612759793892,1612759793987
8,1612759794475,1612759794549
4,1612759794975,1612759795043
5,1612759795239,1612759795329
7,1612759795650,1612759795739
1,1612759795945,1612759796017
3,1612759796887,1612759796969
8,1612759797310,1612759797408
4,1612759797781,1612759797851
5,1612759798047,1612759798130
7,1612759798493,1612759798581
1,1612759798809,1612759798891
3,1612759799534,1612759799632
8,1612759799877,1612759799948
4,1612759800272,1612759800348
5,1612759800529,1612759800617
7,1612759800838,1612759800926
1,1612759801119,1612759801196
3,1612759801920,1612759802017
8,1612759802263,1612759802360
4,1612759802673,1612759802746
5,1612759802926,1612759803013
7,1612759803305,1612759803392
1,1612759803580,1612759803667
3,1612759804546,1612759804626
8,1612759804931,1612759805017
4,1612759805351,1612759805426
5,1612759805620,1612759805704
7,1612759806256,1612759806299
1,1612759806549,1612759806616
3,1612759807345,1612759807423
8,1612759807619,1612759807709
4,1612759808009,1612759808076
5,1612759808268,1612759808336
7,1612759808539,1612759808636
1,1612759808825,1612759808897
3,1612759809597,1612759809704
8,1612759810058,1612759810138
4,1612759810472,1612759810550
5,1612759810745,1612759810841
7,1612759811061,1612759811176
1,1612759811362,1612759811445
3,1612759815324,1612759815417
8,1612759815780,1612759815863
4,1612759816199,1612759816288
5,1612759816485,1612759816574
7,1612759816868,1612759816961
1,1612759817172,1612759817277
3,1612759819217,1612759819340
8,1612759819566,1612759819651
4,1612759820031,1612759820113
5,1612759820303,1612759820397
7,1612759820721,1612759820831
1,1612759821047,1612759821124
3,1612759821761,1612759821857
8,1612759822129,1612759822227
4,1612759822531,1612759822608
5,1612759822840,1612759822920
7,1612759823219,1612759823313
1,1612759823605,1612759823690
3,1612759824266,1612759824351
8,1612759824593,1612759824696
4,1612759825027,1612759825106
5,1612759825314,1612759825401
7,1612759825648,1612759825742
1,1612759825947,1612759826027
3,1612759826540,1612759826633
8,1612759826845,1612759826954
4,1612759827248,1612759827335
5,1612759827547,1612759827637
7,1612759827877,1612759827990
1,1612759828210,1612759828291
3,1612759828848,1612759828945
8,1612759829167,1612759829273
4,1612759829577,1612759829656
5,1612759829863,1612759829960
7,1612759830199,1612759830305
1,1612759830537,1612759830629
3,1612759831196,1612759831292
8,1612759831512,1612759831619
4,1612759831917,1612759832003
5,1612759832208,1612759832307
7,1612759832607,1612759832711
1,1612759832991,1612759833061
3,1612759833639,1612759833723
8,1612759833941,1612759834066
4,1612759834401,1612759834485
5,1612759834679,1612759834772
7,1612759835019,1612759835124
1,1612759835326,1612759835407
3,1612759836015,1612759836119
8,1612759836413,1612759836507
4,1612759836824,1612759836897
5,1612759837094,1612759837185
7,1612759837464,1612759837571
1,1612759837783,1612759837872
